cognitive_fatigue_label,physical_fatigue_label
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
medium,low
medium,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
medium,medium
medium,medium
low,low
low,low
medium,medium
medium,medium
medium,medium
medium,medium
low,low
low,low
low,medium
low,medium
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,medium
low,medium
low,low
low,low
low,medium
low,medium
low,low
low,low
low,low
low,low
low,low
low,low
low,medium
low,medium
low,low
low,low
medium,high
medium,high
high,medium
high,medium
high,medium
high,medium
high,high
high,high
high,high
high,high
high,high
high,high
medium,high
medium,high
medium,high
medium,high
high,high
high,high
high,high
high,high
high,high
high,high
high,high
high,high
