cognitive_fatigue_label,physical_fatigue_label
low,low
low,low
low,low
low,low
low,low
low,low
medium,low
medium,low
low,low
low,low
low,low
low,low
high,high
high,high
high,high
high,high
high,high
high,high
high,high
high,high
low,medium
low,medium
low,medium
low,medium
low,low
low,low
medium,low
medium,low
low,low
low,low
low,high
low,high
medium,medium
medium,medium
medium,medium
medium,medium
medium,medium
medium,medium
low,low
low,low
low,low
low,low
medium,high
medium,high
low,low
low,low
low,low
low,low
low,low
low,low
high,high
high,high
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
high,medium
high,medium
high,medium
high,medium
low,low
low,low
low,low
low,low
low,low
low,low
low,medium
low,medium
low,low
low,low
low,low
low,low
low,medium
low,medium
low,low
low,low
