cognitive_fatigue_label,physical_fatigue_label
low,low
low,low
medium,high
medium,high
low,low
low,low
high,medium
high,medium
high,medium
high,medium
high,medium
high,medium
high,high
high,high
high,high
high,high
medium,high
medium,high
high,high
high,high
low,low
low,low
low,low
low,low
high,low
high,low
low,low
low,low
low,low
low,low
low,low
low,low
medium,low
medium,low
low,medium
low,medium
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
medium,low
medium,low
medium,low
medium,low
medium,low
medium,low
low,low
low,low
medium,low
medium,low
low,low
low,low
low,medium
low,medium
low,low
low,low
low,low
low,low
low,medium
low,medium
medium,high
medium,high
low,low
low,low
low,high
low,high
low,low
low,low
medium,low
medium,low
low,low
low,low
low,low
low,low
low,medium
low,medium
low,low
low,low
high,low
high,low
