cognitive_fatigue_label,physical_fatigue_label
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
medium,low
medium,low
medium,medium
medium,medium
high,medium
high,medium
medium,low
medium,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
medium,medium
medium,medium
high,high
high,high
medium,high
medium,high
medium,high
medium,high
high,high
high,high
high,high
high,high
low,high
low,high
low,medium
low,medium
low,low
low,low
low,medium
low,medium
low,medium
low,medium
medium,medium
medium,medium
low,low
low,low
low,low
low,low
medium,low
medium,low
low,medium
low,medium
low,low
low,low
high,high
high,high
high,high
high,high
high,high
high,high
low,medium
low,medium
low,medium
low,medium
medium,medium
medium,medium
medium,medium
medium,medium
low,low
low,low
low,low
low,low
low,low
low,low
