cognitive_fatigue_label,physical_fatigue_label
medium,medium
medium,medium
medium,medium
medium,medium
medium,low
medium,low
medium,low
medium,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,medium
low,medium
low,medium
low,medium
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
low,low
medium,low
medium,low
low,low
low,low
high,high
high,high
high,high
high,high
high,high
high,high
high,high
high,high
medium,high
medium,high
low,medium
low,medium
low,high
low,high
high,high
high,high
medium,low
medium,low
low,low
low,low
medium,low
medium,low
low,high
low,high
medium,high
medium,high
low,high
low,high
